SexAge2,Dontype2,Race2A,active_12,hbDeferred,N_t_low
F < 50,WB,Black,No,1,5.33
F < 50,PLT or FFP,Black,No,1,27.42
M or F ≥ 50,WB,Black,No,1,1.72
M or F ≥ 50,PLT or FFP,Black,No,1,1.88
F < 50,WB,Black,Yes,1,0.31
F < 50,PLT or FFP,Black,Yes,1,0.31
M or F ≥ 50,WB,Black,Yes,1,0.78
M or F ≥ 50,PLT or FFP,Black,Yes,1,0.47
F < 50,WB,Not Black,No,1,301.3
F < 50,PLT or FFP,Not Black,No,1,349.1
M or F ≥ 50,WB,Not Black,No,1,455.6
M or F ≥ 50,PLT or FFP,Not Black,No,1,50.7
F < 50,WB,Not Black,Yes,1,12.8
F < 50,PLT or FFP,Not Black,Yes,1,3
M or F ≥ 50,WB,Not Black,Yes,1,18.6
M or F ≥ 50,PLT or FFP,Not Black,Yes,1,110.1
F < 50,WB,Black,No,0,35.88
F < 50,PLT or FFP,Black,No,0,7.21
M or F ≥ 50,WB,Black,No,0,9.71
M or F ≥ 50,PLT or FFP,Black,No,0,2.19
F < 50,WB,Black,Yes,0,0.63
F < 50,PLT or FFP,Black,Yes,0,0.47
M or F ≥ 50,WB,Black,Yes,0,0.78
M or F ≥ 50,PLT or FFP,Black,Yes,0,0
F < 50,WB,Not Black,No,0,506.2
F < 50,PLT or FFP,Not Black,No,0,336.7
M or F ≥ 50,WB,Not Black,No,0,668.5
M or F ≥ 50,PLT or FFP,Not Black,No,0,534.6
F < 50,WB,Not Black,Yes,0,14.5
F < 50,PLT or FFP,Not Black,Yes,0,43.3
M or F ≥ 50,WB,Not Black,Yes,0,20.4
M or F ≥ 50,PLT or FFP,Not Black,Yes,0,122.2
